SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
VINTURE WINE COMPANY LLC,9.61,4.25,77.0
HUB WINE CORPORATION,9.58,7.0,1012.0
GRAND ENCLOS DU CHATEAU DE CERONS,9.280000000000001,-0.08,0.0
ATLANTIC WINE & SPIRITS,8.71,20.0,11.0
NICKOLAS IMPORTS LLC,8.63,12.0,208.0
AW DIRECT LLC,7.27,4.0,0.0
MONDO VINO,6.84,0.0,0.0
THREE HENS LLC T/A TENTH HARVEST,6.82,1.0,21.0
ARIS A ZISSIS,6.68,-0.08,0.0
USA WINE WEST LLC,6.3100000000000005,6.0,17.0
ALTITUDE SPIRITS INC,6.17,3.92,0.0
NOBLE VINTNERS INC,6.16,-1.0,0.0
ROBERT KACHER SELECTIONS LLC,6.05,0.0,-1.0
OHMRONE WINE AND LIQUOR LLC,5.95,6.0,318.0
CHEF SOUS LLC,5.95,1.33,0.0
TOBACCO BARN DISTILLERY,5.76,0.0,0.0
SUBARASHII KUDAMONO CO INC,5.6000000000000005,1.83,0.0
CLASSIC WINE IMPORTS INC,5.43,0.0,0.0
SUGARLOAF MOUNTAIN VINEYARD LLC,5.16,0.0,0.0
RED MOUNTAIN DISTILLING AND SPIRITS LLC,5.08,0.0,0.0
SANGLIER SELECTIONS LLC,5.0,0.83,0.0
SOUTHERN WINE & SPIRITS OF MARYLAND,4.78,3.0,2.0
IMPERO WINE DISTRIBUTORS VIRGINIA INC,4.78,7.17,3601.56
PRECEPT BRANDS LLC,4.7,16.0,124.0
NIEBAUM COPPOLA ESTATE WINERY LP,4.53,0.0,4.0
HARVEST IMPORTING LLC,4.4,2.0,314.0
RED MOUNTAIN DISTILLING & SPIRITS LLC,4.0,4.0,0.0
THE RIVER WINE,3.77,1.0,124.92
LOOK VODKA LLC,3.6,6.0,0.0
SMITH-ANDERSON ENTERPRISES INC,3.13,6.67,0.0
RVWC LLC,2.9699999999999998,2.0,519.83
FLAVOR SEEKERS LLC,2.8400000000000003,0.0,0.0
CANTINIERE IMPORTS & DISTRIBUTING INC,2.81,3.0,133.0
ROBERT OATLEY,2.7699999999999996,1.0,49.0
SPADA ENTERPRISES INC,2.75,0.0,0.0
AMERICAN VINTAGE BEVERAGE INC,2.72,0.0,0.0
MERRYVALE VINEYARDS,2.64,0.0,0.0
8 VINI INC,2.5300000000000002,2.0,1.0
WINEBOW INC,2.4,-2.16,3.0
BASIGNANI WINERY,2.37,0.0,0.0
SAWM IMPORTS LLC,2.2800000000000002,0.0,12.0
PLATA WINE PARTNERS LLC,2.13,2.0,38.0
HEIMBUCH ESTATE VINEYARDS AND WINERY LLC,2.02,-0.83,0.0
AZIZ SHAFI TANNIC TONGUE,1.96,2.0,153.83
FREE RUN WINE MERCHANTS LLC,1.96,1.0,852.92
THE WINE SOURCE INC,1.8900000000000001,1.0,534.0
TENTH HARVEST LLC,1.79,1.0,42.0
ORGANIC VINTNERS INC,1.72,0.0,0.0
A&W BORDERS LLC,1.3,0.0,0.0
FOWLES WINE USA INC,1.1900000000000002,0.0,57.0
PAMPA BEVERAGES LLC DBA TRANSNATIONAL SU,1.0,1.0,36.0
CHASSEUR WINE LLC,1.0,1.0,41.0
CHEERS DISTRIBUTING INC,0.97,2.0,0.0
VINIFERA DISTRIBUTING OF MARYLAND INC,0.91,0.0,22.0
OENOS LLC,0.88,0.0,40.0
CHADDSFORD WINERY LTD,0.8200000000000001,0.0,0.0
CHATEAU DIANA LLC,0.72,0.0,2.0
USA WINE IMPORTS,0.65,-0.08,0.0
BOND DISTRIBUTING CO,0.64,0.0,288.66
NICE LEGS LLC,0.64,0.0,0.0
MAISON JOMERE LTD,0.64,-1.0,0.0
SABLE RIDGE VINEYARD LLC,0.64,0.0,0.0
MEIOMI,0.58,0.0,0.0
MESOZOIC TECHNOLOGIES LLC,0.5700000000000001,0.0,8.0
DREYFUS ASHBY INC,0.57,0.0,0.0
A HARDY USA LTD,0.56,0.0,0.0
WEIN-BAUER INC,0.49,0.0,0.0
LA ISLA CORPORATION,0.49,0.0,41.92
WILLIAMS CORNER WINE,0.48,0.0,152.0
WHITE ROCK DISTILLERS INC,0.4,0.0,0.0
BORVIN BEVERAGE,0.32,0.0,0.0
VOLUBILIS IMPORTS INC,0.24,0.0,0.0
WINERY EXCHANGE INC,0.24,1.0,38.0
D'AQUINO ITALIAN IMPORTING CO INC,0.17,0.0,1.0
URUGUAY IMPORTS LTD,0.17,0.0,0.0
GATOR RON'S LLC,0.17,0.0,0.0
ONE EIGHT DISTILLING LLC,0.17,0.0,0.0
FIORE WINERY,0.16,0.0,1.0
DCD ENTERPRISES LLC,0.16,1.0,0.0
VINTAGE VIRGINIA APPLES,0.16,-0.5,1.0
FAROPIAN SPIRITS LTD,0.16,1.0,4.0
G GAUTHIER CELLARS INC,0.08,0.0,0.0
BLACK ANKLE VINEYARDS LLC,0.08,1.0,0.0
THE DOG BEVERAGE CO INC,0.04,0.0,0.0
GJS SALES INC,0.0,0.0,25.0
FREELANCE WINES LLC,0.0,0.0,1.0
NEXTERRA WINE COMPANY,0.0,0.0,6700.67
HOUTON PURVEYORS LLC,0.0,0.0,104.0
HAMCO DC,0.0,668.0,0.0
GRAIL POINT BREWERY LLC,0.0,0.0,17.0
IMPERO WINE DISTRIBUTORS,0.0,0.0,260.0
KAHN PAPER COMPANY INC,0.0,7280.0,0.0
MARKERS EDGE LLC,0.0,0.0,14.0
MARQUEE SELECTIONS LLC,0.0,0.0,22.0
WETTEN IMPORTERS INC,0.0,0.0,32.0
LINNE CALODO INC,0.0,0.0,10.0
ARCHER ROOSE LLC,0.0,0.0,7.0
PREMIUM DISTRIBUTORS OF MARYLAND,0.0,0.0,5.0
PREMIUM DISTRIBUTORS INC,0.0,0.0,-53782.0
REGAL WINE IMPORTS INC,0.0,0.0,27.5
CROOK & MARKER LLC,0.0,0.0,10.0
RSL HOLDINGS INC,0.0,0.0,8.0
DISTRICT CIDER COMPANY INC,0.0,0.0,274.5
SCHEID VINEYARDS CALIFORNIA INC,0.0,1.0,15.0
FIOR DI SOLE LLC,0.0,0.0,6.0
PACIFIC RIM WINEMAKERS,0.0,0.0,0.0
RIGHT FORWARD LLC,0.0,0.0,175.75
CALVERT BREWING COMPANY,0.0,0.0,1.0
BREWDOG BREWING COMPANY LLC,0.0,0.0,92.0
TAPWINES,0.0,0.0,158.0
TAP26MD LLC,0.0,0.0,800.0
CHARM CITY BEVERAGE LLC,0.0,0.0,22.0
CASA CHIRICO LLC,0.0,0.0,98.0
BARREL ONE INC,0.0,0.0,3.0
BASQUE BAR LLC,0.0,0.0,540.75
WITH MALUS AFORETHOUGHT LLC,0.0,0.0,15.0
